city,time,temperature,apparent temperature,relative humidity,precipitation,dewpoint,freeing level,pressure
Rome,2021-11-07T20:00,17.6,18.3,79,0.11,13.8,3224,1013.7
Rome,2021-11-07T21:00,17.3,18.2,82,0.11,14.2,3228,1014.2
Rome,2021-11-07T22:00,16.9,18.0,86,0.11,14.5,3218,1014.7
Rome,2021-11-07T23:00,16.5,17.8,87,0.1,14.4,3176,1015.2
Rome,2021-11-08T00:00,16.3,17.3,87,0.1,14.1,3118,1015.2
Rome,2021-11-08T01:00,15.9,16.5,86,0.1,13.6,3074,1015.2
Rome,2021-11-08T02:00,15.6,16.0,86,0.0,13.3,3100,1015.2
Rome,2021-11-08T03:00,15.3,15.7,86,0.0,12.9,3158,1014.7
Rome,2021-11-08T04:00,14.9,15.0,85,0.0,12.5,3204,1014.7
Rome,2021-11-08T05:00,14.4,14.3,86,0.0,12.0,3180,1014.7
Rome,2021-11-08T06:00,13.8,13.6,86,0.0,11.5,3130,1014.2
Rome,2021-11-08T07:00,13.7,13.3,85,0.0,11.1,3076,1014.2
Rome,2021-11-08T08:00,14.6,14.3,81,0.0,11.2,3068,1014.7
Rome,2021-11-08T09:00,16.0,15.8,75,0.0,11.4,3076,1014.7
Rome,2021-11-08T10:00,17.4,17.4,72,0.0,12.0,3078,1015.2
Rome,2021-11-08T11:00,17.7,17.9,75,1.52,12.9,3062,1014.7
Rome,2021-11-08T12:00,17.6,18.0,81,1.52,14.0,3038,1014.7
Rome,2021-11-08T13:00,17.3,18.0,88,1.52,15.1,3008,1013.7
Rome,2021-11-08T14:00,17.1,17.7,90,2.26,15.2,3002,1013.7
Rome,2021-11-08T15:00,16.8,17.3,89,2.26,14.9,3000,1013.2
Rome,2021-11-08T16:00,16.5,16.7,89,2.26,14.6,2980,1013.2
Rome,2021-11-08T17:00,16.3,16.7,90,1.8,14.5,2926,1013.2
Rome,2021-11-08T18:00,16.1,16.8,91,1.8,14.6,2854,1013.7
Rome,2021-11-08T19:00,15.9,16.9,93,1.8,14.7,2786,1014.7
Rome,2021-11-08T20:00,15.7,16.9,94,1.2,14.7,2792,1015.2
Rome,2021-11-08T21:00,15.6,16.9,96,1.2,14.7,2824,1015.2
Rome,2021-11-08T22:00,15.4,16.7,97,1.2,14.6,2846,1015.7
Rome,2021-11-08T23:00,15.0,16.3,98,0.05,14.5,2818,1016.2
Rome,2021-11-09T00:00,14.6,15.7,99,0.05,14.3,2768,1016.7
Rome,2021-11-09T01:00,14.1,14.9,100,0.05,13.9,2736,1017.2
Rome,2021-11-09T02:00,13.8,14.4,100,0.0,13.6,2770,1017.2
Rome,2021-11-09T03:00,13.4,14.0,100,0.0,13.3,2834,1017.2
Rome,2021-11-09T04:00,13.1,13.5,100,0.0,13.0,2900,1017.7
Rome,2021-11-09T05:00,13.0,13.4,100,0.0,12.9,2912,1018.2
Rome,2021-11-09T06:00,13.0,13.5,100,0.0,12.9,2908,1018.7
Rome,2021-11-09T07:00,13.0,13.5,100,0.0,12.9,2898,1019.2
Rome,2021-11-09T08:00,14.6,14.7,85,0.0,12.1,3238,1019.6
Rome,2021-11-09T09:00,16.0,16.1,80,0.0,12.5,3238,1020.6
Rome,2021-11-09T10:00,17.8,17.9,73,0.0,13.0,3248,1021.1
Rome,2021-11-09T11:00,19.1,19.1,69,0.0,13.3,3268,1021.1
Rome,2021-11-09T12:00,20.3,20.3,66,0.0,13.6,3298,1020.6
Rome,2021-11-09T13:00,21.4,21.3,63,0.0,14.0,3334,1020.6
Rome,2021-11-09T14:00,21.7,21.7,63,0.0,14.2,3356,1020.1
Rome,2021-11-09T15:00,21.5,21.7,64,0.0,14.4,3376,1020.1
Rome,2021-11-09T16:00,20.9,21.3,67,0.0,14.6,3392,1020.1
Rome,2021-11-09T17:00,19.9,20.4,72,0.0,14.5,3390,1020.6
Rome,2021-11-09T18:00,18.5,19.2,77,0.0,14.3,3380,1021.1
Rome,2021-11-09T19:00,16.8,17.6,83,0.0,14.0,3370,1021.6
Rome,2021-11-09T20:00,15.9,16.6,86,0.0,13.6,3368,1021.6
Rome,2021-11-09T21:00,15.2,15.7,88,0.0,13.2,3368,1022.1
Rome,2021-11-09T22:00,14.4,14.7,89,0.0,12.6,3372,1022.1
Rome,2021-11-09T23:00,14.0,14.2,89,0.0,12.2,3384,1022.1
Rome,2021-11-10T00:00,13.8,13.9,88,0.0,11.7,3398,1022.6
Rome,2021-11-10T01:00,13.5,13.6,86,0.0,11.3,3408,1022.6
Rome,2021-11-10T02:00,13.3,13.2,86,0.0,11.0,3400,1022.6
Rome,2021-11-10T03:00,13.1,13.0,86,0.0,10.9,3388,1022.1
Rome,2021-11-10T04:00,12.9,12.6,86,0.0,10.7,3360,1022.1
Rome,2021-11-10T05:00,12.6,12.3,87,0.0,10.5,3328,1022.1
Rome,2021-11-10T06:00,12.2,11.8,88,0.0,10.3,3286,1022.1
Rome,2021-11-10T07:00,12.3,12.0,87,0.0,10.2,3256,1022.6
Rome,2021-11-10T08:00,13.4,13.0,82,0.0,10.3,3274,1022.6
Rome,2021-11-10T09:00,15.0,14.5,76,0.0,10.6,3310,1023.1
Rome,2021-11-10T10:00,17.0,16.5,68,0.0,11.1,3350,1023.1
Rome,2021-11-10T11:00,18.3,17.9,65,0.0,11.6,3360,1022.6
Rome,2021-11-10T12:00,19.5,19.4,63,0.0,12.2,3358,1022.1
Rome,2021-11-10T13:00,20.7,21.0,60,0.0,12.7,3344,1021.6
Rome,2021-11-10T14:00,21.4,21.9,58,0.0,12.8,3312,1021.6
Rome,2021-11-10T15:00,21.8,22.3,56,0.0,12.8,3266,1021.6
Rome,2021-11-10T16:00,21.7,22.1,57,0.0,12.7,3240,1021.6
Rome,2021-11-10T17:00,20.7,21.4,62,0.0,12.9,3280,1021.6
Rome,2021-11-10T18:00,19.1,20.0,69,0.0,13.1,3352,1022.1
Rome,2021-11-10T19:00,17.2,17.7,78,0.0,13.4,3426,1022.1
Rome,2021-11-10T20:00,16.3,16.8,83,0.0,13.4,3444,1022.1
Rome,2021-11-10T21:00,15.6,16.1,86,0.0,13.3,3442,1022.1
Rome,2021-11-10T22:00,14.8,15.3,89,0.0,13.1,3430,1022.1
Rome,2021-11-10T23:00,14.3,14.8,90,0.0,12.7,3420,1021.6
Reykjavik,2021-11-04T00:00,4.8,1.5,90,0.12,2.8,790,1010.8
Reykjavik,2021-11-04T01:00,5.0,1.8,91,0.33,3.5,831,1010.3
Reykjavik,2021-11-04T02:00,4.9,1.6,92,0.18,3.5,806,1010.3
Reykjavik,2021-11-04T03:00,5.0,1.6,90,0.07,3.4,805,1010.3
Reykjavik,2021-11-04T04:00,4.8,1.7,92,0.13,3.4,774,1010.3
Reykjavik,2021-11-04T05:00,4.8,1.1,90,0.54,3.4,741,1010.3
Reykjavik,2021-11-04T06:00,4.8,1.4,88,0.1,2.8,716,1009.8
Reykjavik,2021-11-04T07:00,4.4,1.0,90,0.26,2.8,716,1010.3
Reykjavik,2021-11-04T08:00,4.5,1.3,90,0.25,2.9,718,1010.8
Reykjavik,2021-11-04T09:00,4.5,1.5,91,0.26,3.0,722,1011.8
Reykjavik,2021-11-04T10:00,4.7,1.4,89,0.41,3.0,687,1011.8
Reykjavik,2021-11-04T11:00,4.7,1.9,89,0.19,2.9,679,1012.3
Reykjavik,2021-11-04T12:00,4.8,1.7,85,0.06,2.2,728,1011.8
Reykjavik,2021-11-04T13:00,5.1,2.0,85,0.17,2.7,722,1012.3
Reykjavik,2021-11-04T14:00,5.4,2.5,85,0.22,3.1,729,1012.3
Reykjavik,2021-11-04T15:00,5.5,2.9,84,0.13,3.1,763,1011.8
Reykjavik,2021-11-04T16:00,5.5,2.6,85,0.17,3.1,762,1011.3
Reykjavik,2021-11-04T17:00,5.5,2.5,85,0.5,3.1,763,1010.8
Reykjavik,2021-11-04T18:00,5.3,2.1,88,0.43,3.4,760,1010.8
Reykjavik,2021-11-04T19:00,5.2,2.4,88,0.24,3.4,784,1010.8
Reykjavik,2021-11-04T20:00,4.9,2.1,87,0.05,2.9,811,1011.3
Reykjavik,2021-11-04T21:00,4.7,1.7,87,0.08,2.6,801,1010.8
Reykjavik,2021-11-04T22:00,4.8,1.8,88,0.14,2.9,834,1010.8
Reykjavik,2021-11-04T23:00,5.0,1.8,91,0.27,3.6,806,1010.3
Reykjavik,2021-11-05T00:00,5.2,1.7,91,0.39,3.7,804,1010.8
Reykjavik,2021-11-05T01:00,5.2,1.6,88,0.4,3.4,713,1010.3
Reykjavik,2021-11-05T02:00,5.3,1.8,84,0.11,2.8,693,1010.3
Reykjavik,2021-11-05T03:00,5.1,1.7,79,0.02,1.5,697,1010.3
Reykjavik,2021-11-05T04:00,4.6,0.6,80,0.32,1.5,661,1010.3
Reykjavik,2021-11-05T05:00,4.1,0.6,83,0.08,1.3,641,1009.8
Reykjavik,2021-11-05T06:00,4.1,0.4,83,0.11,1.4,637,1009.8
Reykjavik,2021-11-05T07:00,4.0,0.1,82,0.18,1.2,624,1009.8
Reykjavik,2021-11-05T08:00,4.0,0.6,85,0.3,1.6,673,1010.3
Reykjavik,2021-11-05T09:00,3.9,0.6,84,0.04,1.4,665,1010.3
Reykjavik,2021-11-05T10:00,4.4,1.0,84,0.07,1.8,698,1010.8
Reykjavik,2021-11-05T11:00,4.2,1.0,84,0.0,1.8,685,1011.3
Reykjavik,2021-11-05T12:00,4.5,1.4,82,0.0,1.7,656,1011.3
Reykjavik,2021-11-05T13:00,4.8,2.0,80,0.0,1.6,693,1011.3
Reykjavik,2021-11-05T14:00,5.0,2.5,78,0.0,1.5,645,1011.3
Reykjavik,2021-11-05T15:00,4.9,2.7,78,0.0,1.4,574,1010.8
Reykjavik,2021-11-05T16:00,4.6,2.4,82,0.0,1.8,591,1010.3
Reykjavik,2021-11-05T17:00,3.9,1.5,87,0.0,1.9,725,1009.8
Reykjavik,2021-11-05T18:00,3.2,0.4,89,0.0,1.4,779,1008.8
Reykjavik,2021-11-05T19:00,3.2,0.3,82,0.0,0.3,867,1007.3
Reykjavik,2021-11-05T20:00,2.9,-0.2,78,0.0,-0.8,798,1006.8
Reykjavik,2021-11-05T21:00,3.1,-0.7,73,0.0,-1.4,904,1005.8
Reykjavik,2021-11-05T22:00,3.3,-1.0,75,0.0,-1.0,976,1003.8
Reykjavik,2021-11-05T23:00,3.2,-1.2,73,0.0,-1.4,688,1002.3
Reykjavik,2021-11-06T00:00,2.7,-1.6,71,0.29,-2.1,465,1000.3
Reykjavik,2021-11-06T01:00,2.1,-2.8,76,0.76,-1.9,352,997.8
Reykjavik,2021-11-06T02:00,1.8,-2.7,87,1.23,-0.3,298,995.3
Reykjavik,2021-11-06T03:00,2.6,-2.9,84,0.56,-0.2,692,992.7
Reykjavik,2021-11-06T04:00,3.3,-3.0,78,1.02,-0.3,1189,989.7
Reykjavik,2021-11-06T05:00,3.4,-3.4,79,0.66,-0.1,1434,988.2
Reykjavik,2021-11-06T06:00,3.5,-3.2,79,0.13,-0.1,1482,986.7
Reykjavik,2021-11-06T07:00,4.3,-1.0,72,0.09,-0.4,1387,986.2
Reykjavik,2021-11-06T08:00,4.6,0.1,72,0.07,-0.2,1006,986.2
Reykjavik,2021-11-06T09:00,4.6,0.5,72,0.03,-0.1,961,986.2
Reykjavik,2021-11-06T10:00,4.7,1.1,72,0.02,0.1,977,986.7
Reykjavik,2021-11-06T11:00,4.5,2.0,76,0.09,0.7,948,987.2
Reykjavik,2021-11-06T12:00,4.2,2.3,85,0.66,1.9,870,987.7
Reykjavik,2021-11-06T13:00,4.3,1.9,87,0.29,2.3,797,988.2
Reykjavik,2021-11-06T14:00,4.3,1.8,87,0.27,2.4,781,989.2
Reykjavik,2021-11-06T15:00,4.1,1.6,89,0.82,2.6,762,990.7
Reykjavik,2021-11-06T16:00,3.4,0.0,90,0.5,2.0,492,991.7
Reykjavik,2021-11-06T17:00,2.8,-0.7,89,0.16,1.1,350,992.7
Reykjavik,2021-11-06T18:00,2.8,-1.2,88,0.05,0.9,369,993.8
Reykjavik,2021-11-06T19:00,2.8,-1.7,84,0.19,0.4,405,994.8
Reykjavik,2021-11-06T20:00,2.8,-2.0,84,0.24,0.3,408,996.3
Reykjavik,2021-11-06T21:00,2.9,-2.2,85,0.27,0.5,424,997.8
Reykjavik,2021-11-06T22:00,2.8,-2.4,84,0.3,0.3,360,999.3
Reykjavik,2021-11-06T23:00,2.6,-2.5,85,0.22,0.3,326,1000.8
Reykjavik,2021-11-07T00:00,2.5,-2.8,85,0.16,0.1,306,1001.8
Reykjavik,2021-11-07T01:00,2.5,-2.9,83,0.16,-0.1,308,1002.8
Reykjavik,2021-11-07T02:00,2.5,-3.3,82,0.11,-0.4,310,1004.3
Reykjavik,2021-11-07T03:00,2.4,-3.4,81,0.1,-0.5,313,1005.3
Reykjavik,2021-11-07T04:00,2.4,-3.3,81,0.09,-0.6,314,1006.3
Reykjavik,2021-11-07T05:00,2.4,-3.1,81,0.07,-0.7,314,1006.8
Reykjavik,2021-11-07T06:00,2.4,-2.7,80,0.1,-0.8,314,1007.8
Reykjavik,2021-11-07T07:00,2.4,-2.2,78,0.12,-1.0,328,1008.3
Reykjavik,2021-11-07T08:00,2.4,-1.7,79,0.01,-1.1,342,1008.8
Reykjavik,2021-11-07T09:00,2.0,-1.7,82,0.0,-0.9,316,1009.3
Reykjavik,2021-11-07T10:00,1.6,-1.9,83,0.0,-1.3,287,1010.3
Reykjavik,2021-11-07T11:00,1.1,-2.0,87,0.0,-1.2,255,1010.3
Reykjavik,2021-11-07T12:00,1.1,-1.9,86,0.0,-1.3,230,1010.3
Reykjavik,2021-11-07T13:00,1.6,-1.6,82,0.0,-1.2,224,1010.3
Reykjavik,2021-11-07T14:00,1.7,-1.4,81,0.0,-1.1,223,1010.3
Reykjavik,2021-11-07T15:00,1.9,-1.3,80,0.0,-1.1,230,1009.8
Reykjavik,2021-11-07T16:00,1.9,-1.1,80,0.0,-1.1,239,1009.3
Reykjavik,2021-11-07T17:00,1.5,-1.2,83,0.0,-1.3,247,1009.3
Reykjavik,2021-11-07T18:00,0.8,-1.5,88,0.0,-1.5,256,1008.8
Reykjavik,2021-11-07T19:00,0.1,-2.7,94,0.0,-1.7,240,1008.3
Reykjavik,2021-11-07T20:00,-0.1,-3.0,96,0.0,-1.7,183,1007.8
Reykjavik,2021-11-07T21:00,-0.3,-3.1,97,0.0,-1.6,101,1007.3
Reykjavik,2021-11-07T22:00,-0.4,-3.1,96,0.0,-1.6,17,1005.8
Reykjavik,2021-11-07T23:00,-0.5,-3.3,94,0.0,-2.0,-10,1004.8
Reykjavik,2021-11-08T00:00,-0.6,-3.5,90,0.0,-2.6,-18,1003.8
Reykjavik,2021-11-08T01:00,-0.5,-3.5,85,0.0,-3.2,17,1002.3
Reykjavik,2021-11-08T02:00,0.0,-3.0,81,0.04,-3.2,110,1001.3
Reykjavik,2021-11-08T03:00,0.8,-2.3,79,0.04,-2.9,242,1000.3
Reykjavik,2021-11-08T04:00,1.5,-1.7,77,0.04,-2.5,358,998.8
Reykjavik,2021-11-08T05:00,1.5,-1.7,78,0.39,-2.2,331,997.3
Reykjavik,2021-11-08T06:00,1.2,-2.0,82,0.39,-1.8,250,995.8
Reykjavik,2021-11-08T07:00,1.1,-2.3,85,0.39,-1.3,193,993.3
Reykjavik,2021-11-08T08:00,1.5,-2.1,85,0.25,-1.0,234,991.2
Reykjavik,2021-11-08T09:00,2.0,-1.6,84,0.25,-0.6,317,989.2
Reykjavik,2021-11-08T10:00,2.8,-1.0,82,0.25,-0.3,489,986.2
Reykjavik,2021-11-08T11:00,3.3,-0.8,79,0.41,-0.3,710,984.2
Reykjavik,2021-11-08T12:00,3.8,-0.7,75,0.41,-0.5,982,982.2
Reykjavik,2021-11-08T13:00,4.4,-0.6,72,0.41,-0.6,1233,980.2
Reykjavik,2021-11-08T14:00,4.5,-0.3,72,0.16,-0.3,1238,978.7
Reykjavik,2021-11-08T15:00,4.6,0.2,72,0.16,0.0,1148,977.2
Reykjavik,2021-11-08T16:00,4.5,0.8,74,0.16,0.4,1032,976.2
Reykjavik,2021-11-08T17:00,4.5,1.2,76,0.04,0.7,1003,975.2
Reykjavik,2021-11-08T18:00,4.4,1.6,79,0.04,0.9,987,974.7
Reykjavik,2021-11-08T19:00,4.1,1.8,82,0.04,1.1,974,973.7
Reykjavik,2021-11-08T20:00,3.6,1.2,85,0.06,0.9,975,973.2
Reykjavik,2021-11-08T21:00,2.9,0.4,89,0.06,0.5,983,973.2
Reykjavik,2021-11-08T22:00,2.4,-0.3,92,0.06,0.3,955,973.2
Reykjavik,2021-11-08T23:00,2.5,0.1,93,0.03,0.7,872,973.2
Reykjavik,2021-11-09T00:00,2.9,0.7,93,0.03,1.4,755,973.2
Reykjavik,2021-11-09T01:00,3.4,0.9,92,0.03,2.1,624,973.7
Reykjavik,2021-11-09T02:00,3.6,0.7,91,0.52,2.2,573,974.2
Reykjavik,2021-11-09T03:00,3.7,0.3,90,0.52,2.1,544,974.2
Reykjavik,2021-11-09T04:00,3.8,-0.1,88,0.52,1.9,522,974.2
Reykjavik,2021-11-09T05:00,3.9,0.0,87,0.58,1.9,515,974.7
Reykjavik,2021-11-09T06:00,3.9,0.2,86,0.58,1.8,518,975.2
Reykjavik,2021-11-09T07:00,4.0,0.3,85,0.58,1.7,523,975.7
Reykjavik,2021-11-09T08:00,2.2,-0.6,92,0.0,1.0,695,974.3
Reykjavik,2021-11-09T09:00,1.6,-1.2,93,0.0,0.6,706,974.3
Reykjavik,2021-11-09T10:00,1.1,-1.7,94,0.0,0.3,718,974.3
Reykjavik,2021-11-09T11:00,1.1,-1.7,94,0.0,0.2,723,974.3
Reykjavik,2021-11-09T12:00,1.3,-1.4,93,0.0,0.2,726,974.3
Reykjavik,2021-11-09T13:00,1.6,-0.8,91,0.0,0.3,705,974.8
Reykjavik,2021-11-09T14:00,2.0,-0.1,89,0.0,0.4,651,974.8
Reykjavik,2021-11-09T15:00,2.5,0.1,88,0.0,0.6,577,974.8
Reykjavik,2021-11-09T16:00,2.9,0.3,87,0.0,0.9,497,975.3
Reykjavik,2021-11-09T17:00,2.8,0.4,88,0.0,1.0,472,976.3
Reykjavik,2021-11-09T18:00,2.7,0.2,90,0.0,1.2,464,976.8
Reykjavik,2021-11-09T19:00,2.5,-0.2,92,0.0,1.3,465,977.8
Reykjavik,2021-11-09T20:00,2.5,-0.4,91,0.01,1.1,473,978.3
Reykjavik,2021-11-09T21:00,2.5,-0.6,89,0.01,0.9,489,978.8
Reykjavik,2021-11-09T22:00,2.5,-0.7,87,0.01,0.5,513,979.3
Reykjavik,2021-11-09T23:00,2.3,-1.0,87,0.0,0.3,535,980.3
Reykjavik,2021-11-10T00:00,2.1,-1.4,87,0.0,0.2,559,980.8
Reykjavik,2021-11-10T01:00,1.8,-1.6,88,0.0,0.1,572,981.3
Reykjavik,2021-11-10T02:00,1.9,-1.4,89,0.0,0.2,554,982.3
Reykjavik,2021-11-10T03:00,2.0,-0.8,90,0.0,0.4,521,982.8
Reykjavik,2021-11-10T04:00,2.2,-0.3,90,0.0,0.7,479,984.3
Reykjavik,2021-11-10T05:00,2.3,0.0,90,0.09,0.8,460,984.8
Reykjavik,2021-11-10T06:00,2.5,0.2,89,0.09,0.9,444,985.8
Reykjavik,2021-11-10T07:00,2.6,0.4,89,0.09,0.9,418,986.8
Reykjavik,2021-11-10T08:00,2.5,0.4,89,0.21,1.0,385,987.8
Reykjavik,2021-11-10T09:00,2.4,0.2,91,0.21,1.0,345,988.3
Reykjavik,2021-11-10T10:00,2.1,-0.2,92,0.21,1.0,315,989.3
Reykjavik,2021-11-10T11:00,2.0,-0.5,93,0.05,1.0,323,989.8
Reykjavik,2021-11-10T12:00,1.8,-0.8,94,0.05,0.9,348,990.3
Reykjavik,2021-11-10T13:00,1.8,-1.1,94,0.05,0.9,385,990.8
Reykjavik,2021-11-10T14:00,2.0,-0.9,92,0.02,0.8,404,991.3
Reykjavik,2021-11-10T15:00,2.3,-0.6,89,0.02,0.7,424,991.3
Reykjavik,2021-11-10T16:00,2.6,-0.4,86,0.02,0.5,453,991.8
